State,Percentage Unemployed
Alabama,2.58
Alaska,4.03
Arizona,3.83
Arkansas,3.30
California,4.18
Colorado,3.02
Connecticut,4.16
Delaware,4.49
District of Columbia,4.62
Florida,2.90
Georgia,3.03
Hawaii,3.48
Idaho,2.68
Illinois,4.54
Indiana,2.99
Iowa,2.74
Kansas,2.67
Kentucky,3.91
Los Angeles County,4.87
Louisiana,3.63
Maine,2.94
Maryland,3.23
Massachusetts,3.77
Michigan,4.21
Minnesota,2.67
Mississippi,3.91
Missouri,2.49
Montana,2.63
Nebraska,2.34
Nevada,5.36
New Hampshire,2.50
New Jersey,3.67
New Mexico,4.03
New York,4.25
New York city,5.61
North Carolina,3.64
North Dakota,2.08
Ohio,4.03
Oklahoma,3.03
Oregon,4.13
Pennsylvania,4.35
Rhode Island,3.22
South Carolina,3.26
South Dakota,2.07
Tennessee,3.37
Texas,3.88
Utah,2.30
Vermont,2.63
Virginia,2.83
Washington,4.18
West Virginia,3.92
Wisconsin,2.93
Wyoming,3.57
