Country,Year,Personal,Business,Total
Albania,2021,5588400,100200,5688600
Algeria,2021,21600,45400,67000
Andorra,2021,5246400,176100,5422500
Angola,2021,57600,6100,63700
Anguilla,2021,28000,700,28700
Antigua and Barbuda,2021,163400,6000,169400
Argentina,2021,153700,21200,174900
Armenia,2021,716300,154000,870300
Aruba,2021,772400,34300,806700
Australia,2021,192300,54000,246300
Azerbaijan,2021,595100,196700,791800
Bahamas,2021,859600,31300,890900
Bahrain,2021,3413600,198400,3612000
Barbados,2021,134200,9300,143500
Belarus,2021,2632100,728900,3361000
Belgium,2021,2207400,1035699.94,3243099.94
Belize,2021,203500,15600,219100
Bermuda,2021,66000,6100,72100
Bhutan,2021,1,,1
Bolivia,2021,158100,21800,179900
Bosnia and Herzegovina,2021,411200,90700,501900
Brunei,2021,1400,2100,3500
Bulgaria,2021,6322000,866400,7188400
Burkina Faso,2021,235800,284000,519800
Cambodia,2021,105300,91100,196400
Chad,2021,15700,17400,33100
Colombia,2021,1160000,89100,1249100
Comoros,2021,24900,3900,28800
Cook Islands,2021,26000,400,26400
Costa Rica,2021,1254400,92700,1347100
Cote d'Ivoire,2021,329100,246700,575800
Cuba,2021,351700,4600,356300
Curacao,2021,250000,15000,265000
Denmark,2021,17922000,483000,18405000
Djibouti,2021,59500,54600,114100
Dominica,2021,11800,3200,15000
Dominican Republic,2021,4880700,113600,4994300
Ecuador,2021,453400,216000,669400
El Salvador,2021,1171400,47500,1218900
Eswatini,2021,139700,71000,210700
Ethiopia,2021,495400,22700,518100
Fiji,2021,29400,2200,31600
French Polynesia,2021,76200,6400,82600
Gambia,2021,96000,6400,102400
Ghana,2021,346700,276800,623500
Grenada,2021,39100,2900,42000
Guam,2021,29000,13500,42500
Guatemala,2021,531600,134400,666000
Guyana,2021,131200,27200,158400
Haiti,2021,139100,9300,148400
Honduras,2021,420500,38700,459200
Hungary,2021,34352100,2335400,36687500
India,2021,1337500,189600,1527100
Indonesia,2021,841000,716500,1557500
Italy,2021,30048700,10137000,40185700
Jamaica,2021,1449900,14500,1464400
Japan,2021,227500,18300,245800
Jordan,2021,1756200,255500,2011700
Kazakhstan,2021,610400,719800,1330200
Kenya,2021,621700,248900,870600
Kiribati,2021,10,60,70
Kuwait,2021,64400,20600,85000
Latvia,2021,1775800,161000,1936800
Lithuania,2021,734800,212800,947600
Madagascar,2021,7173,582,7755
Malawi,2021,126000,305000,431000
Maldives,2021,1322000,,1322000
Mali,2021,159300,8800,168100
Malta,2021,905300,62800,968100
Martinique,2021,246700,44200,290900
Mauritius,2021,173500,6800,180300
Mexico,2021,31286800,573600,31860400
Monaco,2021,187800,30600,218400
Mongolia,2021,22200,10900,33100
Montserrat,2021,1361,230,1591
Mozambique,2021,497200,51500,548700
Myanmar,2021,118400,12500,130900
Namibia,2021,166400,66300,232700
Nepal,2021,151000,,151000
New Caledonia,2021,10000,2400,12400
New Zealand,2021,184500,22400,206900
Nicaragua,2021,198700,23700,222400
Northern Mariana Islands,2021,12700,,12700
Oman,2021,573400,78300,651700
Panama,2021,625600,39800,665400
Papua New Guinea,2021,1800,15000,16800
Paraguay,2021,76800,18000,94800
Peru,2021,433000,11300,444300
Philippines,2021,151000,13000,164000
Poland,2021,50507000,2417000,52924000
Reunion,2021,229300,21500,250800
Rwanda,2021,168500,342400,510900
Saint Kitts and Nevis,2021,18200,2000,20200
Saint Lucia,2021,195300,4100,199400
Saint Vincent and the Grenadines,2021,20500,3800,24300
Samoa,2021,2600,,2600
Sao Tome and Principe,2021,9900,5200,15100
Saudi Arabia,2021,2464100,1013100,3477200
Seychelles,2021,181000,1900,182900
Sierra Leone,2021,26300,14000,40300
Slovenia,2021,1614300,218100,1832400
South Africa,2021,2061600.1,194100,2255700.1
South Korea,2021,927000,40000,967000
Spain,2021,28910500,2270300,31180800
Sri Lanka,2021,189000,5000,194000
Taiwan,2021,120700,19700,140400
Tanzania,2021,934200,92700,1026900
Tonga,2021,200,,200
Trinidad and Tobago,2021,31700,8900,40600
Turkey,2021,28255000,1102400,29357400
Tuvalu,2021,20,20,40
Uganda,2021,384700,128200,512900
Ukraine,2021,3932900,40300,3973200
United Arab Emirates,2021,9035500,3748700,12784200
United Kingdom,2021,5042800,1341000,6383800
United States,2021,8046400,1128500,9174900
Uruguay,2021,214800,18700,233500
Zambia,2021,343200,211100,554300
Zimbabwe,2021,275100,105700,380800
